starttime,day,month,year,quarter,hour,minute
5/28/2015 11:08,28,5,2015,2,11,8
9/13/2015 17:05,13,9,2015,3,17,5
9/2/2015 8:59,2,9,2015,3,8,59
12/27/2014 10:42,27,12,2014,4,10,42
5/11/2015 7:50,11,5,2015,2,7,50
11/17/2014 17:01,17,11,2014,4,17,1
7/16/2015 20:28,16,7,2015,3,20,28
6/14/2015 17:58,14,6,2015,2,17,58
5/6/2015 19:20,6,5,2015,2,19,20
6/11/2015 15:35,11,6,2015,2,15,35
4/3/2015 7:18,3,4,2015,2,7,18
10/5/2015 2:29,5,10,2015,4,2,29
8/23/2015 15:15,23,8,2015,3,15,15
9/26/2015 14:18,26,9,2015,3,14,18
8/19/2015 8:08,19,8,2015,3,8,8
12/19/2014 10:51,19,12,2014,4,10,51
8/12/2015 20:25,12,8,2015,3,20,25
12/31/2014 14:20,31,12,2014,4,14,20
10/14/2014 20:14,14,10,2014,4,20,14
6/27/2015 23:16,27,6,2015,2,23,16
10/27/2014 20:54,27,10,2014,4,20,54
9/11/2015 8:16,11,9,2015,3,8,16
1/13/2015 17:39,13,1,2015,1,17,39
1/24/2015 15:13,24,1,2015,1,15,13
8/17/2015 19:18,17,8,2015,3,19,18
7/31/2015 17:19,31,7,2015,3,17,19
10/23/2014 18:56,23,10,2014,4,18,56
4/23/2015 9:11,23,4,2015,2,9,11
7/27/2015 22:53,27,7,2015,3,22,53
8/15/2015 22:54,15,8,2015,3,22,54
1/2/2015 17:21,2,1,2015,1,17,21
10/29/2014 17:30,29,10,2014,4,17,30
9/17/2015 8:32,17,9,2015,3,8,32
1/24/2015 22:47,24,1,2015,1,22,47
5/15/2015 10:24,15,5,2015,2,10,24
3/11/2015 18:56,11,3,2015,1,18,56
11/18/2014 7:43,18,11,2014,4,7,43
10/1/2015 11:53,1,10,2015,4,11,53
11/26/2014 9:54,26,11,2014,4,9,54
7/28/2015 8:38,28,7,2015,3,8,38
1/21/2015 18:14,21,1,2015,1,18,14
3/18/2015 16:25,18,3,2015,1,16,25
4/8/2015 11:31,8,4,2015,2,11,31
11/26/2014 9:51,26,11,2014,4,9,51
8/10/2015 9:28,10,8,2015,3,9,28
4/17/2015 8:16,17,4,2015,2,8,16
6/30/2015 18:30,30,6,2015,2,18,30
7/4/2015 15:11,4,7,2015,3,15,11
2/8/2015 14:55,8,2,2015,1,14,55
6/8/2015 16:20,8,6,2015,2,16,20
2/1/2015 14:35,1,2,2015,1,14,35
3/11/2015 13:18,11,3,2015,1,13,18
9/28/2015 8:22,28,9,2015,3,8,22
11/8/2014 18:11,8,11,2014,4,18,11
3/14/2015 15:41,14,3,2015,1,15,41
3/8/2015 11:43,8,3,2015,1,11,43
5/17/2015 11:40,17,5,2015,2,11,40
6/24/2015 7:33,24,6,2015,2,7,33
8/10/2015 18:21,10,8,2015,3,18,21
10/26/2014 12:51,26,10,2014,4,12,51
12/13/2014 17:29,13,12,2014,4,17,29
7/30/2015 13:22,30,7,2015,3,13,22
6/9/2015 18:24,9,6,2015,2,18,24
8/2/2015 13:17,2,8,2015,3,13,17
11/2/2014 0:45,2,11,2014,4,0,45
3/13/2015 9:05,13,3,2015,1,9,5
8/29/2015 10:54,29,8,2015,3,10,54
3/14/2015 16:11,14,3,2015,1,16,11
8/5/2015 9:28,5,8,2015,3,9,28
5/21/2015 17:24,21,5,2015,2,17,24
6/14/2015 17:46,14,6,2015,2,17,46
7/6/2015 15:00,6,7,2015,3,15,0
5/1/2015 17:34,1,5,2015,2,17,34
9/13/2015 18:23,13,9,2015,3,18,23
8/11/2015 7:57,11,8,2015,3,7,57
3/13/2015 14:50,13,3,2015,1,14,50
6/6/2015 11:01,6,6,2015,2,11,1
9/13/2015 18:37,13,9,2015,3,18,37
1/19/2015 13:36,19,1,2015,1,13,36
12/1/2014 14:01,1,12,2014,4,14,1
9/12/2015 13:34,12,9,2015,3,13,34
11/16/2014 13:17,16,11,2014,4,13,17
7/12/2015 9:04,12,7,2015,3,9,4
5/27/2015 9:28,27,5,2015,2,9,28
8/22/2015 11:28,22,8,2015,3,11,28
4/10/2015 8:53,10,4,2015,2,8,53
7/25/2015 0:26,25,7,2015,3,0,26
6/25/2015 17:37,25,6,2015,2,17,37
9/12/2015 16:45,12,9,2015,3,16,45
2/26/2015 20:12,26,2,2015,1,20,12
8/25/2015 9:05,25,8,2015,3,9,5
10/5/2015 8:10,5,10,2015,4,8,10
2/6/2015 13:11,6,2,2015,1,13,11
7/3/2015 10:28,3,7,2015,3,10,28
12/11/2014 13:07,11,12,2014,4,13,7
10/14/2014 16:22,14,10,2014,4,16,22
8/20/2015 15:53,20,8,2015,3,15,53
3/7/2015 16:25,7,3,2015,1,16,25
2/17/2015 6:35,17,2,2015,1,6,35
11/30/2014 15:50,30,11,2014,4,15,50
8/18/2015 19:41,18,8,2015,3,19,41
9/29/2015 19:11,29,9,2015,3,19,11
6/18/2015 9:54,18,6,2015,2,9,54
4/15/2015 10:17,15,4,2015,2,10,17
8/21/2015 8:50,21,8,2015,3,8,50
5/5/2015 9:47,5,5,2015,2,9,47
9/1/2015 17:13,1,9,2015,3,17,13
9/19/2015 14:34,19,9,2015,3,14,34
6/28/2015 17:34,28,6,2015,2,17,34
9/22/2015 17:55,22,9,2015,3,17,55
4/5/2015 18:08,5,4,2015,2,18,8
2/16/2015 15:59,16,2,2015,1,15,59
9/21/2015 14:30,21,9,2015,3,14,30
1/22/2015 17:25,22,1,2015,1,17,25
1/29/2015 6:26,29,1,2015,1,6,26
7/25/2015 14:06,25,7,2015,3,14,6
9/6/2015 4:51,6,9,2015,3,4,51
1/10/2015 9:26,10,1,2015,1,9,26
7/3/2015 12:57,3,7,2015,3,12,57
7/18/2015 1:17,18,7,2015,3,1,17
8/4/2015 11:25,4,8,2015,3,11,25
9/14/2015 12:15,14,9,2015,3,12,15
9/5/2015 17:02,5,9,2015,3,17,2
1/8/2015 19:39,8,1,2015,1,19,39
