N_NATIONKEY,N_NAME,N_REGIONKEY,N_COMMENT,,,,,,,,,,region,,id,9001,9002,9003,9004,9005
0,ALGERIA,0,final accounts wake quickly. special reques,,,,,,,,,,AFRICA,,name,Electric Razor,Turkey Jerky,Paper Towels,Straightrazor,Barcelona Chair
1,ARGENTINA,1,idly final instructions cajole stealthily. regular instructions wake carefully blithely express accounts. fluffi,,,,,,,,,,AMERICA,,price,59.99,3.59,4.15,15.12,1579
2,BRAZIL,1,always pending pinto beans sleep sil,,,,,,,,,,AMERICA,,,,,,,
3,CANADA,1,foxes among the bold requests,,,,,,,,,,AMERICA,,R_REGIONKEY,0,1,2,3,4
4,EGYPT,4,pending accounts haggle furiously. furiously bold accounts detect. platelets at the packages haggle caref,,,,,,,,,,MIDDLE EAST,,R_NAME,AFRICA,AMERICA,ASIA,EUROPE,MIDDLE EAST
5,ETHIOPIA,0,fluffily ruthless requests integrate fluffily. pending ideas wake blithely acco,,,,,,,,,,AFRICA,,R_COMMENT,special Tiresias about the furiously even dolphins are furi,"even, ironic theodolites according to the bold platelets wa","silent, bold requests sleep slyly across the quickly sly dependencies. furiously silent instructions alongside","special, bold deposits haggle foxes. platelet","furiously unusual packages use carefully above the unusual, exp"
6,FRANCE,3,even requests detect near the pendin,,,,,,,,,,EUROPE,,,,,,,
7,GERMANY,3,blithely ironic foxes grow. quickly pending accounts are b,,,,,,,,,,EUROPE,,,,,,,
8,INDIA,2,"ironic packages should have to are slyly around the special, ironic accounts. iron",,,,,,,,,,ASIA,,,,,,,
9,INDONESIA,2,unusual excuses are quickly requests. slyly ironic accounts haggle carefully above the pendin,,,,,,,,,,ASIA,,,,,,,
10,IRAN,4,blithely even accounts about the furiously regular foxes nag slyly final accounts. quickly final fo,,,,,,,,,,MIDDLE EAST,,,,,,,
11,IRAQ,4,"express, pending deposits boost quick",,,,,,,,,,MIDDLE EAST,,,,,,,
12,JAPAN,2,"blithely final packages cajole quickly even dependencies? blithely regular deposits haggle express, ironic re",,,,,,,,,,ASIA,,,,,,,
13,JORDAN,4,"blithe, express deposits boost carefully busy accounts. furiously pending depos",,,,,,,,,,MIDDLE EAST,,,,,,,
14,KENYA,0,ironic requests boost. quickly pending pinto beans cajole slyly slyly even deposits. ironic packages,,,,,,,,,,AFRICA,,,,,,,
15,MOROCCO,0,ideas according to the fluffily final pinto beans sleep furiously,,,,,,,,,,AFRICA,,,,,,,
16,MOZAMBIQUE,0,"ironic courts wake fluffily even, bold deposi",,,,,,,,,,AFRICA,,,,,,,
17,PERU,1,"final, final accounts sleep slyly across the requests.",,,,,,,,,,AMERICA,,,,,,,
18,CHINA,2,bold accounts are. slyly ironic escapades haggle acc,,,,,,,,,,ASIA,,,,,,,
19,ROMANIA,3,deposits boost against the brave id,,,,,,,,,,EUROPE,,,,,,,
20,SAUDI ARABIA,4,fluffily final accounts wake slyly-- fi,,,,,,,,,,MIDDLE EAST,,,,,,,
21,VIETNAM,2,"doggedly ironic requests haggle furiously ironic, ironic packages. furiously final courts wake fur",,,,,,,,,,ASIA,,,,,,,
22,RUSSIA,3,"slowly pending patterns x-ray quickly. ironic, even accounts haggle furiously. even, final deposits mold bl",,,,,,,,,,EUROPE,,,,,,,
23,UNITED KINGDOM,3,fluffily regular pinto beans breach according to the ironic dolph,,,,,,,,,,EUROPE,,,,,,,
24,UNITED STATES,1,blithely regular deposits serve furiously blithely regular warthogs! slyly fi,,,,,,,,,,AMERICA,,,,,,,
