O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDER-PRIORITY,O_CLERK,O_SHIP-PRIORITY,O_COMMENT,Cust_name,Mrkt_segment
1,370,O,172799.49,1/2/1996,5-LOW,Clerk#000000951,0,blithely final dolphins solve-- blithely blithe packages nag blith,Customer#000000370,FURNITURE
2,781,O,38426.09,12/1/1996,1-URGENT,Clerk#000000880,0,quickly regular depend,Customer#000000781,MACHINERY
3,1234,F,205654.3,10/14/1993,5-LOW,Clerk#000000955,0,deposits alongside of the dependencies are slowly about,Customer#000001234,FURNITURE
4,1369,O,56000.91,10/11/1995,5-LOW,Clerk#000000124,0,final requests detect slyly across the blithely bold pinto beans. eve,Customer#000001369,AUTOMOBILE
5,445,F,105367.67,7/30/1994,5-LOW,Clerk#000000925,0,even deposits cajole furiously. quickly spe,Customer#000000445,FURNITURE
6,557,F,45523.1,2/21/1992,4-NOT SPECIFIED,Clerk#000000058,0,"ironically bold asymptotes sleep blithely beyond the regular, clos",Customer#000000557,BUILDING
7,392,O,271885.66,1/10/1996,2-HIGH,Clerk#000000470,0,"ironic, regular deposits are. ironic foxes sl",Customer#000000392,BUILDING
32,1301,O,198665.57,7/16/1995,2-HIGH,Clerk#000000616,0,slyly final foxes are slyly. packag,Customer#000001301,MACHINERY
33,670,F,146567.24,10/27/1993,3-MEDIUM,Clerk#000000409,0,packages maintain about the deposits; foxes hang after,Customer#000000670,BUILDING
34,611,O,73315.48,7/21/1998,3-MEDIUM,Clerk#000000223,0,quickly express asymptotes use. carefully final packages sleep f,Customer#000000611,HOUSEHOLD
35,1276,O,194641.93,10/23/1995,4-NOT SPECIFIED,Clerk#000000259,0,fluffily regular pinto beans,Customer#000001276,AUTOMOBILE
36,1153,O,42011.04,11/3/1995,1-URGENT,Clerk#000000358,0,carefully ironic accounts nag,Customer#000001153,HOUSEHOLD
37,862,F,131896.49,6/3/1992,3-MEDIUM,Clerk#000000456,0,express requests ar,Customer#000000862,MACHINERY
38,1249,O,71553.08,8/21/1996,4-NOT SPECIFIED,Clerk#000000604,0,slyly quick pinto beans detect flu,Customer#000001249,BUILDING
39,818,O,326565.37,9/20/1996,3-MEDIUM,Clerk#000000659,0,furiously unusual pinto beans above the furiously ironic asymptot,Customer#000000818,BUILDING
64,322,F,35831.73,7/16/1994,3-MEDIUM,Clerk#000000661,0,final deposits nag. blithely special deposits a,Customer#000000322,HOUSEHOLD
65,163,P,95469.44,3/18/1995,1-URGENT,Clerk#000000632,0,furiously even platelets boost ironic theodolites. even,Customer#000000163,FURNITURE
66,1292,F,104190.66,1/20/1994,5-LOW,Clerk#000000743,0,ironic requests are quickly about the carefully unusual a,Customer#000001292,BUILDING
67,568,O,182481.16,12/19/1996,4-NOT SPECIFIED,Clerk#000000547,0,"regular, bold foxes across the even requests detect a",Customer#000000568,BUILDING
68,286,O,301968.79,4/18/1998,3-MEDIUM,Clerk#000000440,0,stealthy decoys nag; furiously,Customer#000000286,HOUSEHOLD
69,845,F,204110.73,6/4/1994,4-NOT SPECIFIED,Clerk#000000330,0,carefully regular theodolites exce,Customer#000000845,AUTOMOBILE
70,644,F,125705.32,12/18/1993,5-LOW,Clerk#000000322,0,blithely unusual pack,Customer#000000644,HOUSEHOLD
71,34,O,260603.38,1/24/1998,4-NOT SPECIFIED,Clerk#000000271,0,furiously ironic dolphins sleep slyly. carefully special notornis cajole c,Customer#000000034,HOUSEHOLD
96,1078,F,64364.3,4/17/1994,2-HIGH,Clerk#000000395,0,carefully regular accounts,Customer#000001078,MACHINERY
97,211,F,100572.55,1/29/1993,3-MEDIUM,Clerk#000000547,0,carefully even packages believe sly,Customer#000000211,BUILDING
98,1045,F,71721.4,9/25/1994,1-URGENT,Clerk#000000448,0,"carefully even dinos sleep blithely. regular, bold deposits",Customer#000001045,HOUSEHOLD
99,890,F,108594.87,3/13/1994,4-NOT SPECIFIED,Clerk#000000973,0,carefully regular theodolites may believe unu,Customer#000000890,BUILDING
100,1471,O,198978.27,2/28/1998,4-NOT SPECIFIED,Clerk#000000577,0,"regular deposits sleep closely regular, regular packages. carefully si",Customer#000001471,AUTOMOBILE
101,280,O,118448.39,3/17/1996,3-MEDIUM,Clerk#000000419,0,"blithely ironic accounts lose slyly about the pending, regular accounts",Customer#000000280,BUILDING
102,8,O,184806.58,5/9/1997,2-HIGH,Clerk#000000596,0,unusual deposits dazzle furiously blithely regular pinto beans. pending foxes,Customer#000000008,BUILDING
